         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
      108    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
      230    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
        3    0.000    0.000    0.001    0.000 warnings.py:133(filterwarnings)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     2985    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      277    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
      530    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
       26    0.000    0.000    0.001    0.000 core.py:6860(getdoc)
      151    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
      530    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      342    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1774    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
     1498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      530    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
     1223    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       18    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1929(__init__)
     1008    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      365    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  111/108    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      456    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:1855(__new__)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       39    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      603    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       13    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
     1284    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1061    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      231    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       26    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
  285/225    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
       44    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
